date,acq_id,acquirer,acquiree,purchase_price
2/6/2013,ACQ349,Google,Channel Intelligence,125000000
2/28/2013,ACQ346,Facebook,Atlas Solutions,
3/1/2013,ACQ345,Facebook,osmeta,
3/12/2013,ACQ343,Google,DNNresearch Inc.,
3/14/2013,ACQ342,Facebook,Hot Studio,
3/15/2013,ACQ341,Google,Talaria Technologies,
4/12/2013,ACQ336,Google,Behavio,
4/23/2013,ACQ333,Facebook,Spaceport,
4/23/2013,ACQ334,Google,Wavii,30000000
4/25/2013,ACQ332,Facebook,Parse,85000000
5/23/2013,ACQ324,Google,Makani Power,
6/11/2013,ACQ320,Google,Waze,966000000
7/18/2013,ACQ312,Facebook,Monoidics,
8/12/2013,ACQ305,Facebook,Jibbigo,
9/16/2013,ACQ295,Google,Bump,
10/2/2013,ACQ291,Google,Flutter,40000000
10/13/2013,ACQ286,Facebook,Onavo,
10/22/2013,ACQ285,Google,FlexyCore,23000000
12/2/2013,ACQ279,Google,"SCHAFT, Inc.",
12/3/2013,ACQ276,Google,Industrial Perception,
12/4/2013,ACQ274,Google,Redwood Robotics,
12/5/2013,ACQ273,Google,Meka Robotics,
12/6/2013,ACQ272,Google,Holomni,
12/7/2013,ACQ270,Google,Bot & Dolly,
12/8/2013,ACQ269,Google,Autofuss,
12/17/2013,ACQ267,Facebook,SportStream,
1/4/2014,ACQ261,Google,Bitspin,
1/8/2014,ACQ257,Facebook,Little Eye Labs,15000000
1/13/2014,ACQ255,Facebook,Branch,15000000
1/13/2014,ACQ256,Google,Nest Labs,3200000000
1/15/2014,ACQ254,Google,Impermium,
1/26/2014,ACQ251,Google,DeepMind Technologies,625000000
2/16/2014,ACQ246,Google,SlickLogin,
2/19/2014,ACQ245,Facebook,WhatsApp,19000000000
2/21/2014,ACQ244,Google,spider.io,
3/12/2014,ACQ240,Google,GreenThrottle,
3/25/2014,ACQ239,Facebook,Oculus VR,2000000000
3/27/2014,ACQ238,Facebook,Ascenta,20000000
4/14/2014,ACQ233,Google,Titan Aerospace,
4/24/2014,ACQ231,Facebook,ProtoGeo Oy,
5/2/2014,ACQ228,Google,Rangespan,
5/6/2014,ACQ226,Google,Adometry,
5/7/2014,ACQ225,Google,MyEnergy,
5/7/2014,ACQ224,Google,Stackdriver,
5/7/2014,ACQ223,Google,Appetas,
5/16/2014,ACQ221,Google,Quest Visual,
5/19/2014,ACQ220,Google,Divide,
6/10/2014,ACQ216,Google,Skybox Imaging,500000000
6/19/2014,ACQ214,Google,Alpental Technologies,
6/19/2014,ACQ213,Google,mDialog,
6/20/2014,ACQ211,Google,Dropcam,555000000
6/25/2014,ACQ210,Google,Appurify,
7/1/2014,ACQ207,Google,Songza,
7/23/2014,ACQ201,Google,drawElements,
8/6/2014,ACQ195,Google,Director,
8/6/2014,ACQ194,Google,Emu,
8/7/2014,ACQ193,Facebook,PrivateCore,
8/14/2014,ACQ191,Facebook,LiveRail,
8/17/2014,ACQ189,Google,Jetpac,
8/23/2014,ACQ188,Google,Gecko Design,
8/26/2014,ACQ186,Facebook,WaveGroup Sound,
8/26/2014,ACQ187,Google,Zync Render,
9/10/2014,ACQ184,Google,Lift Labs,
9/11/2014,ACQ183,Google,Polar,
10/21/2014,ACQ179,Google,Firebase,
10/23/2014,ACQ178,Google,Dark Blue Labs & Vision Factory,
10/24/2014,ACQ177,Google,Revolv,
11/19/2014,ACQ172,Google,RelativeWave,
12/17/2014,ACQ167,Google,Vidmaker,
1/6/2015,ACQ165,Facebook,Wit.ai,
1/8/2015,ACQ164,Facebook,Quickfire Networks,
2/4/2015,ACQ158,Google,Launchpad Toys,
2/8/2015,ACQ157,Google,Odysee,
2/23/2015,ACQ154,Google,Softcard,
2/24/2015,ACQ153,Google,Red Hot Labs,
3/14/2015,ACQ150,Facebook,"TheFind, Inc.",
4/16/2015,ACQ140,Google,Skillman & Hackett,
4/16/2015,ACQ139,Google,Thrive Audio,
5/4/2015,ACQ136,Google,Timeful,
5/26/2015,ACQ135,Facebook,Surreal Vision,
5/28/2015,ACQ134,Google,Pulse.io,
6/18/2015,ACQ129,Google,Agawi,
7/16/2015,ACQ127,Facebook,Pebbles,60000000
7/21/2015,ACQ125,Google,Pixate,
9/21/2015,ACQ114,Google,Oyster,
9/30/2015,ACQ111,Google,Jibe Mobile,
10/3/2015,ACQ109,Facebook,Endaga,
10/17/2015,ACQ108,Google,Digisfera,
11/11/2015,ACQ99,Google,bebop,380000000
11/11/2015,ACQ98,Google,Fly Labs,
2/12/2016,ACQ82,Google,BandPage,
2/18/2016,ACQ81,Google,Pie,
3/9/2016,ACQ77,Facebook,MSQRD (Masquerade),
5/2/2016,ACQ73,Google,Synergyse,
5/23/2016,ACQ71,Facebook,Two Big Ears,
6/22/2016,ACQ68,Google,Webpass,
7/6/2016,ACQ67,Google,Moodstocks,
7/8/2016,ACQ66,Google,Anvato,
7/12/2016,ACQ65,Google,Kifi,
7/27/2016,ACQ64,Google,LaunchKit,
8/8/2016,ACQ61,Google,Orbitera,100000000
9/8/2016,ACQ58,Google,Apigee,625000000
9/15/2016,ACQ57,Google,Urban Engines,
9/19/2016,ACQ55,Facebook,Nascent Objects,
9/19/2016,ACQ56,Google,API.AI,
10/10/2016,ACQ52,Facebook,Infiniled,
10/11/2016,ACQ51,Google,FameBit,
10/24/2016,ACQ50,Google,Eyefluence,
11/5/2016,ACQ48,Google,LeapDroid,
11/11/2016,ACQ47,Facebook,CrowdTangle,
11/16/2016,ACQ46,Facebook,Faciometrics,
11/21/2016,ACQ45,Google,Qwiklabs,
12/13/2016,ACQ41,Google,Cronologics,
1/5/2017,ACQ40,Google,Limes Audio,
1/19/2017,ACQ37,Google,Fabric,
3/8/2017,ACQ35,Google,Kaggle,
3/9/2017,ACQ34,Google,AppBridge,
5/10/2017,ACQ29,Google,Owlchemy Labs,
7/12/2017,ACQ23,Google,Halli Labs,
7/31/2017,ACQ22,Facebook,Ozlo,
8/16/2017,ACQ20,Google,AIMatter,
9/21/2017,ACQ19,Google,HTC (portions),1100000000
9/26/2017,ACQ17,Google,Bitium,
10/9/2017,ACQ11,Google,Relay Media,
10/11/2017,ACQ10,Google,60db,
10/16/2017,ACQ9,Facebook,tbh,
1/23/2018,ACQ5,Facebook,Confirm,
3/27/2018,ACQ2,Google,Tenor,
