date,goog_price,fb_price
1/2/2013,361.62,28
1/3/2013,361.83,27.77
1/4/2013,368.98,28.76
1/7/2013,367.37,29.42
1/8/2013,366.65,29.06
1/9/2013,369.05,30.59
1/10/2013,370.73,31.3
1/11/2013,369.99,31.72
1/14/2013,361.62,30.95
1/15/2013,362.46,30.1
1/16/2013,357.59,29.85
1/17/2013,355.66,30.14
1/18/2013,352.25,29.66
1/22/2013,351.43,30.73
1/23/2013,370.75,30.82
1/24/2013,376.91,31.08
1/25/2013,376.83,31.54
1/28/2013,375.36,32.47
1/29/2013,376.84,30.79
1/30/2013,376.91,31.24
1/31/2013,377.84,30.98
2/1/2013,387.8,29.73
2/4/2013,379.51,28.11
2/5/2013,382.87,28.64
2/6/2013,385.08,29.05
2/7/2013,386.97,28.65
2/8/2013,392.68,28.55
2/11/2013,391.2,28.26
2/12/2013,390.35,27.37
2/13/2013,391.43,27.91
2/14/2013,393.91,28.5
2/15/2013,396.44,28.32
2/19/2013,403.42,28.93
2/20/2013,396.23,28.46
2/21/2013,397.76,27.28
2/22/2013,399.85,27.13
2/25/2013,395.38,27.27
2/26/2013,395.06,27.39
2/27/2013,399.89,26.87
2/28/2013,400.6,27.25
3/1/2013,403.09,27.78
3/4/2013,410.75,27.72
3/5/2013,419.3,27.52
3/6/2013,415.69,27.45
3/7/2013,416.29,28.58
3/8/2013,415.76,27.96
3/11/2013,417.41,28.14
3/12/2013,413.8,27.83
3/13/2013,412.65,27.08
3/14/2013,410.76,27.04
3/15/2013,407.15,26.65
3/18/2013,403.89,26.49
3/19/2013,405.66,26.55
3/20/2013,407.35,25.86
3/21/2013,405.63,25.74
3/22/2013,405.15,25.73
3/25/2013,404.82,25.13
3/26/2013,406.2,25.21
3/27/2013,401.32,26.09
3/28/2013,397.09,25.58
4/1/2013,400.59,25.53
4/2/2013,406.51,25.42
4/3/2013,403.1,26.25
4/4/2013,397.53,27.07
4/5/2013,391.52,27.39
4/8/2013,387.42,26.85
4/9/2013,388.82,26.59
4/10/2013,395.09,27.57
4/11/2013,395.19,28.02
4/12/2013,395.02,27.4
4/15/2013,390.96,26.52
4/16/2013,396.68,26.92
4/17/2013,391.28,26.63
4/18/2013,382.95,25.69
4/19/2013,399.93,25.73
4/22/2013,400.05,25.97
4/23/2013,403.95,25.98
4/24/2013,406.72,26.11
4/25/2013,404.55,26.14
4/26/2013,400.7,26.85
4/29/2013,409.53,26.98
4/30/2013,412.28,27.77
5/1/2013,410.21,27.43
5/2/2013,414.8,28.97
5/3/2013,422.85,28.31
5/6/2013,430.77,27.57
5/7/2013,428.61,26.89
5/8/2013,436.81,27.12
5/9/2013,435.73,27.04
5/10/2013,440.11,26.68
5/13/2013,438.76,26.82
5/14/2013,443.55,27.07
5/15/2013,457.94,26.6
5/16/2013,451.93,26.13
5/17/2013,454.59,26.25
5/20/2013,454.26,25.76
5/21/2013,453.48,25.66
5/22/2013,444.7,25.16
5/23/2013,441.39,25.06
5/24/2013,436.66,24.31
5/28/2013,440.63,24.1
5/29/2013,434.15,23.32
5/30/2013,435.38,24.55
5/31/2013,435.6,24.35
6/3/2013,433.81,23.85
6/4/2013,429.55,23.52
6/5/2013,429.85,22.9
6/6/2013,432.32,22.97
6/7/2013,439.86,23.29
6/10/2013,445.1,24.33
6/11/2013,439.9,24.03
6/12/2013,435.98,23.77
6/13/2013,438.5,23.73
6/14/2013,437.51,23.63
6/17/2013,443.12,24.02
6/18/2013,450.31,24.21
6/19/2013,450.34,24.31
6/20/2013,442.37,23.9
6/21/2013,440.46,24.53
6/24/2013,434.89,23.94
6/25/2013,433.1,24.25
6/26/2013,436.82,24.16
6/27/2013,438.53,24.66
6/28/2013,440.18,24.88
7/1/2013,443.94,24.81
7/2/2013,441.15,24.41
7/3/2013,443.21,24.52
7/5/2013,446.74,24.37
7/8/2013,452.54,24.71
7/9/2013,452.62,25.48
7/10/2013,452.99,25.8
7/11/2013,460.12,25.81
7/12/2013,461.5,25.91
7/15/2013,462.34,26.28
7/16/2013,459.8,26.32
7/17/2013,459.27,26.65
7/18/2013,455.34,26.18
7/19/2013,448.29,25.88
7/22/2013,455.35,26.05
7/23/2013,451.9,26.13
7/24/2013,451.45,26.51
7/25/2013,443.85,34.36
7/26/2013,442.67,34.01
7/29/2013,441.13,35.43
7/30/2013,445.45,37.63
7/31/2013,443.87,36.8
8/1/2013,452.1,37.49
8/2/2013,453.28,38.05
8/5/2013,452.5,39.19
8/6/2013,448.28,38.55
8/7/2013,445.32,38.87
8/8/2013,446.32,38.54
8/9/2013,445.2,38.5
8/12/2013,442.75,38.22
8/13/2013,440.62,37.02
8/14/2013,434.9,36.65
8/15/2013,429.82,36.56
8/16/2013,428.45,37.08
8/19/2013,432.82,37.81
8/20/2013,432.7,38.41
8/21/2013,434.66,38.32
8/22/2013,436.85,38.55
8/23/2013,435.1,40.55
8/26/2013,433.19,41.34
8/27/2013,425.07,39.64
8/28/2013,424.27,40.55
8/29/2013,427.71,41.28
8/30/2013,423.45,41.29
9/3/2013,430.19,41.87
9/4/2013,435.81,41.78
9/5/2013,439.78,42.66
9/6/2013,439.79,43.95
9/9/2013,444.02,44.04
9/10/2013,444.33,43.6
9/11/2013,448.09,45.04
9/12/2013,446.53,44.75
9/13/2013,444.53,44.31
9/16/2013,443.88,42.51
9/17/2013,443.05,45.07
9/18/2013,451.66,45.23
9/19/2013,449.19,45.98
9/20/2013,451.55,47.49
9/23/2013,443.25,47.19
9/24/2013,443.42,48.45
9/25/2013,438.61,49.46
9/26/2013,439.08,50.39
9/27/2013,438.19,51.24
9/30/2013,437.95,50.23
10/1/2013,443.5,50.42
10/2/2013,443.99,50.28
10/3/2013,438.04,49.18
10/4/2013,436.17,51.04
10/7/2013,432.87,50.52
10/8/2013,426.83,47.14
10/9/2013,427.93,46.77
10/10/2013,434.12,49.05
10/11/2013,435.99,49.11
10/14/2013,438.05,49.51
10/15/2013,441,49.5
10/16/2013,449.01,51.13
10/17/2013,444.39,52.21
10/18/2013,505.7,54.22
10/21/2013,501.65,53.85
10/22/2013,503.5,52.68
10/23/2013,515.7,51.9
10/24/2013,512.77,52.45
10/25/2013,507.6,51.95
10/28/2013,507.5,50.23
10/29/2013,518.12,49.4
10/30/2013,515.21,49.01
10/31/2013,515.29,50.21
11/1/2013,513.52,49.75
11/4/2013,513.05,48.22
11/5/2013,510.76,50.11
11/6/2013,511.37,49.12
11/7/2013,503.97,47.56
11/8/2013,508.01,47.53
11/11/2013,505.29,46.2
11/12/2013,505.89,46.61
11/13/2013,516.23,48.71
11/14/2013,517.61,48.99
11/15/2013,516.78,49.01
11/18/2013,515.77,45.83
11/19/2013,512.6,46.36
11/20/2013,511.15,46.43
11/21/2013,517.03,46.7
11/22/2013,515.94,46.23
11/25/2013,522.96,44.82
11/26/2013,529.2,45.89
11/27/2013,531.55,46.49
11/29/2013,529.79,47.01
12/2/2013,527.24,47.06
12/3/2013,526.63,46.73
12/4/2013,529.09,48.62
12/5/2013,528.66,48.34
12/6/2013,534.93,47.94
12/9/2013,539.07,48.84
12/10/2013,542.33,50.25
12/11/2013,538.64,49.38
12/12/2013,534.98,51.83
12/13/2013,530.39,53.32
12/16/2013,536.49,53.81
12/17/2013,534.92,54.86
12/18/2013,542.37,55.57
12/19/2013,543.11,55.05
12/20/2013,550.3,55.12
12/23/2013,557.54,57.77
12/24/2013,555.91,57.96
12/26/2013,558.73,57.73
12/27/2013,559.2,55.44
12/30/2013,554.73,53.71
12/31/2013,560.35,54.65
1/2/2014,556.55,54.71
1/3/2014,552.5,54.56
1/6/2014,558.66,57.2
1/7/2014,569.42,57.92
1/8/2014,570.61,58.23
1/9/2014,565.12,57.22
1/10/2014,565.09,57.94
1/13/2014,561.49,55.91
1/14/2014,574.7,57.74
1/15/2014,574.3,57.6
1/16/2014,578.11,57.19
1/17/2014,575.26,56.3
1/21/2014,581.85,58.51
1/22/2014,582.51,57.51
1/23/2014,580.04,56.63
1/24/2014,561.91,54.45
1/27/2014,550.61,53.55
1/28/2014,561.5,55.14
1/29/2014,553.46,53.53
1/30/2014,567.69,61.08
1/31/2014,590.48,62.57
2/3/2014,566.71,61.48
2/4/2014,569.08,62.75
2/5/2014,571.6,62.19
2/6/2014,579.98,62.16
2/7/2014,588.72,64.32
2/10/2014,586.46,63.55
2/11/2014,595.09,64.85
2/12/2014,593.34,64.45
2/13/2014,599.95,67.33
2/14/2014,601.4,67.09
2/18/2014,605.44,67.3
2/19/2014,601.16,68.06
2/20/2014,602.05,69.63
2/21/2014,601.89,68.59
2/24/2014,606.25,70.78
2/25/2014,610,69.85
2/26/2014,610.08,69.26
2/27/2014,609.6,68.94
2/28/2014,607.82,68.46
3/3/2014,601.34,67.41
3/4/2014,607.45,68.8
3/5/2014,609.13,71.57
3/6/2014,609.8,70.84
3/7/2014,607.39,69.8
3/10/2014,605.78,72.03
3/11/2014,599.99,70.1
3/12/2014,603.65,70.88
3/13/2014,594.53,68.83
3/14/2014,586.4,67.72
3/17/2014,596.04,68.74
3/18/2014,605.63,69.19
3/19/2014,599.62,68.24
3/20/2014,598.58,66.97
3/21/2014,591.52,67.24
3/24/2014,578.96,64.1
3/25/2014,579.36,64.89
3/26/2014,565.98,60.39
3/27/2014,556.93,60.97
3/28/2014,558.46,60.01
3/31/2014,555.45,60.24
4/1/2014,565.61,62.62
4/2/2014,565.45,62.72
4/3/2014,568.18,59.49
4/4/2014,541.65,56.75
4/7/2014,536.68,56.95
4/8/2014,553.38,58.19
4/9/2014,562.6,62.41
4/10/2014,539.47,59.16
4/11/2014,529.15,58.53
4/14/2014,531.06,58.89
